number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
0,0.6074814911027406,2022-11-22 23:14:37.643625,2022-11-22 23:15:43.529612,0 days 00:01:05.885987,0.016685439859187332,12,6,1,15,,,Adam,COMPLETE
1,0.6115079880503962,2022-11-22 23:15:43.530823,2022-11-22 23:16:41.898361,0 days 00:00:58.367538,0.011894431225231669,12,6,1,4,,,Adam,COMPLETE
2,0.5339654500584492,2022-11-22 23:16:41.899732,2022-11-22 23:17:35.320480,0 days 00:00:53.420748,0.08370695560510873,12,4,3,16,18.0,8.0,Adam,COMPLETE
3,0.6327445122743214,2022-11-22 23:17:35.321577,2022-11-22 23:18:03.539059,0 days 00:00:28.217482,0.047083203916533194,32,6,1,10,,,RMSprop,COMPLETE
4,0.6553448499805169,2022-11-22 23:18:03.540135,2022-11-22 23:18:37.065680,0 days 00:00:33.525545,0.0023215707500364507,15,4,1,16,,,Adam,COMPLETE
5,0.5012339264839589,2022-11-22 23:18:37.067024,2022-11-22 23:18:53.192249,0 days 00:00:16.125225,0.08383570313970727,12,4,3,16,14.0,6.0,Adam,PRUNED
6,0.6665800753344591,2022-11-22 23:18:53.193389,2022-11-22 23:19:26.775567,0 days 00:00:33.582178,0.002771322817353468,15,4,1,16,,,Adam,COMPLETE
7,0.6176776204701909,2022-11-22 23:19:26.787978,2022-11-22 23:19:52.220686,0 days 00:00:25.432708,0.011774740046352997,23,6,1,4,,,Adam,PRUNED
8,0.6209247954279776,2022-11-22 23:19:52.221625,2022-11-22 23:20:50.533390,0 days 00:00:58.311765,0.017171586167611795,12,6,1,15,,,Adam,COMPLETE
9,0.5994284972074295,2022-11-22 23:20:50.534600,2022-11-22 23:21:04.540211,0 days 00:00:14.005611,0.021221288507052866,12,6,2,15,18.0,,Adam,PRUNED
10,0.5826730744252501,2022-11-22 23:21:04.541054,2022-11-22 23:21:19.398655,0 days 00:00:14.857601,0.0885195826120795,12,8,2,6,18.0,,AdamW,PRUNED
11,0.6530068840109106,2022-11-22 23:21:19.399557,2022-11-22 23:21:53.047058,0 days 00:00:33.647501,0.002771322817353468,15,4,1,12,,,Adam,COMPLETE
12,0.6001428756981426,2022-11-22 23:21:53.048319,2022-11-22 23:22:05.606207,0 days 00:00:12.557888,0.011935640557085889,12,7,1,4,,,Adam,PRUNED
13,0.6048837511365113,2022-11-22 23:22:05.607227,2022-11-22 23:22:21.473972,0 days 00:00:15.866745,0.021301193836755047,12,6,3,4,14.0,13.0,Adam,PRUNED
14,0.6244966878815431,2022-11-22 23:22:21.474806,2022-11-22 23:23:06.715872,0 days 00:00:45.241066,0.002771322817353468,15,4,3,7,15.0,10.0,Adam,COMPLETE
15,0.6473567995843617,2022-11-22 23:23:06.716940,2022-11-22 23:23:44.157619,0 days 00:00:37.440679,0.0027091416991898965,31,8,1,8,,,RMSprop,COMPLETE
16,0.6556046239771399,2022-11-22 23:23:44.158786,2022-11-22 23:24:10.636509,0 days 00:00:26.477723,0.0032528173793182247,15,3,1,16,,,AdamW,COMPLETE
17,0.6682686063125082,2022-11-22 23:24:10.637668,2022-11-22 23:24:41.431265,0 days 00:00:30.793597,0.002771322817353468,15,4,1,17,,,RMSprop,COMPLETE
18,0.6659955838420574,2022-11-22 23:24:41.432375,2022-11-22 23:25:15.351981,0 days 00:00:33.919606,0.00252209938584817,15,4,1,16,,,Adam,COMPLETE
19,0.6578776464475906,2022-11-22 23:25:15.353255,2022-11-22 23:25:49.178068,0 days 00:00:33.824813,0.00252209938584817,15,4,1,16,,,Adam,COMPLETE
20,0.6561241719703858,2022-11-22 23:25:49.179159,2022-11-22 23:26:07.330460,0 days 00:00:18.151301,0.003142566735064054,27,3,1,16,,,Adam,COMPLETE
21,0.6615144824003117,2022-11-22 23:26:07.331656,2022-11-22 23:26:33.626534,0 days 00:00:26.294878,0.00365867660971238,15,3,1,16,,,Adam,COMPLETE
22,0.6490453305624106,2022-11-22 23:26:33.627647,2022-11-22 23:27:09.043019,0 days 00:00:35.415372,0.0036845428101469407,10,3,1,16,,,Adam,COMPLETE
23,0.6068320561111833,2022-11-22 23:27:09.044132,2022-11-22 23:27:17.184482,0 days 00:00:08.140350,0.002308146943183745,28,4,1,4,,,Adam,PRUNED
24,0.6015066891804131,2022-11-22 23:27:17.185496,2022-11-22 23:27:25.710437,0 days 00:00:08.524941,0.003464762127066288,27,3,1,9,,,RMSprop,PRUNED
25,0.62378230939083,2022-11-22 23:27:25.711283,2022-11-22 23:27:34.070774,0 days 00:00:08.359491,0.0033627819600481374,27,3,1,16,,,Adam,PRUNED
26,0.6535264320041564,2022-11-22 23:27:34.071637,2022-11-22 23:28:00.639084,0 days 00:00:26.567447,0.0036871475623434192,15,3,1,13,,,Adam,COMPLETE
27,0.6637875048707624,2022-11-22 23:28:00.640744,2022-11-22 23:28:34.100903,0 days 00:00:33.460159,0.0032363665288413805,15,4,1,18,,,Adam,COMPLETE
28,0.6231328743992727,2022-11-22 23:28:34.102032,2022-11-22 23:28:44.975296,0 days 00:00:10.873264,0.0036064452279010806,15,4,1,16,,,Adam,PRUNED
29,0.6546954149889596,2022-11-22 23:28:44.976113,2022-11-22 23:29:03.191658,0 days 00:00:18.215545,0.003142566735064054,27,3,1,16,,,Adam,COMPLETE
30,0.6685283803091311,2022-11-22 23:29:03.192680,2022-11-22 23:29:39.616929,0 days 00:00:36.424249,0.0031470808557465747,15,4,1,18,,,AdamW,COMPLETE
31,0.6204701909338876,2022-11-22 23:29:39.618092,2022-11-22 23:29:50.620234,0 days 00:00:11.002142,0.0024398607832769596,15,4,1,16,,,Adam,PRUNED
32,0.6191713209507729,2022-11-22 23:29:50.621127,2022-11-22 23:30:00.959637,0 days 00:00:10.338510,0.0022900706385798465,15,4,1,17,,,RMSprop,PRUNED
33,0.6238472528899857,2022-11-22 23:30:00.960515,2022-11-22 23:30:11.882472,0 days 00:00:10.921957,0.002052534809981897,15,4,1,16,,,AdamW,PRUNED
34,0.6161189764904533,2022-11-22 23:30:11.883271,2022-11-22 23:30:21.500113,0 days 00:00:09.616842,0.08521589609009785,25,4,2,16,6.0,,Adam,PRUNED
35,0.6422262631510586,2022-11-22 23:30:21.500980,2022-11-22 23:30:39.543551,0 days 00:00:18.042571,0.0021332632619893988,15,4,1,16,,,Adam,PRUNED
36,0.6255357838680348,2022-11-22 23:30:39.544575,2022-11-22 23:30:50.505284,0 days 00:00:10.960709,0.0034998656150283173,15,5,1,16,,,Adam,PRUNED
37,0.6587219119366151,2022-11-22 23:30:50.506274,2022-11-22 23:31:15.528761,0 days 00:00:25.022487,0.0029035254717472386,23,4,1,16,,,Adam,COMPLETE
38,0.6619690868944019,2022-11-22 23:31:15.530059,2022-11-22 23:31:40.841538,0 days 00:00:25.311479,0.0029035254717472386,23,4,1,16,,,Adam,COMPLETE
39,0.6615794258994675,2022-11-22 23:31:40.842630,2022-11-22 23:32:14.598736,0 days 00:00:33.756106,0.0032666577420828995,15,4,1,18,,,AdamW,COMPLETE
40,0.6711261202753604,2022-11-22 23:32:14.599922,2022-11-22 23:32:55.137763,0 days 00:00:40.537841,0.0027146341538599227,15,5,1,16,,,Adam,COMPLETE
41,0.6235874788933627,2022-11-22 23:32:55.139201,2022-11-22 23:33:04.611608,0 days 00:00:09.472407,0.0027146341538599227,20,5,1,16,,,Adam,PRUNED
42,0.6193012079490843,2022-11-22 23:33:04.612483,2022-11-22 23:33:16.742810,0 days 00:00:12.130327,0.0027647683655104595,13,5,1,11,,,AdamW,PRUNED
43,0.6709962332770489,2022-11-22 23:33:16.743686,2022-11-22 23:33:58.003248,0 days 00:00:41.259562,0.002282600852490383,15,5,1,16,,,Adam,COMPLETE
44,0.6526172230159761,2022-11-22 23:33:58.004414,2022-11-22 23:34:23.600881,0 days 00:00:25.596467,0.002771322817353468,15,7,1,17,,,AdamW,PRUNED
45,0.6040394856474867,2022-11-22 23:34:23.601750,2022-11-22 23:34:34.683733,0 days 00:00:11.081983,0.015604337769454617,15,4,1,16,,,Adam,PRUNED
