number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,system_attrs_nsga2:generation,state
0,0.6030003896609949,2022-11-20 16:33:34.594854,2022-11-20 16:34:53.402073,0 days 00:01:18.807219,0.08020546544063824,8,5,2,6,10.0,,RMSprop,0,COMPLETE
1,0.5917651643070528,2022-11-20 16:34:53.403989,2022-11-20 16:35:55.411421,0 days 00:01:02.007432,0.05898589418837783,20,7,3,7,14.0,15.0,AdamW,0,COMPLETE
2,0.5938433562800364,2022-11-20 16:35:55.412638,2022-11-20 16:36:16.678503,0 days 00:00:21.265865,0.04602043546553448,32,4,1,9,,,AdamW,0,COMPLETE
3,0.5895570853357579,2022-11-20 16:36:16.679747,2022-11-20 16:37:31.515075,0 days 00:01:14.835328,0.030382137218665166,13,6,3,6,12.0,11.0,AdamW,0,COMPLETE
4,0.6602805559163528,2022-11-20 16:37:31.516140,2022-11-20 16:38:11.066514,0 days 00:00:39.550374,0.0049801250479125335,19,5,3,14,18.0,12.0,RMSprop,0,COMPLETE
5,0.5851409273931679,2022-11-20 16:38:11.067934,2022-11-20 16:38:47.162905,0 days 00:00:36.094971,0.02193487903537379,12,5,2,4,6.0,,AdamW,0,PRUNED
6,0.5748798545265619,2022-11-20 16:38:47.163778,2022-11-20 16:38:57.087964,0 days 00:00:09.924186,0.04671000609777911,17,3,1,14,,,Adam,0,PRUNED
7,0.5913755033121184,2022-11-20 16:38:57.088793,2022-11-20 16:39:07.758427,0 days 00:00:10.669634,0.024799242170216982,15,7,1,9,,,RMSprop,0,PRUNED
8,0.5763086115079881,2022-11-20 16:39:07.759388,2022-11-20 16:39:26.482544,0 days 00:00:18.723156,0.03519884953509396,8,3,3,10,7.0,4.0,RMSprop,0,PRUNED
9,0.5876087803610859,2022-11-20 16:39:26.483414,2022-11-20 16:39:44.141596,0 days 00:00:17.658182,0.03143218153296705,8,5,2,4,14.0,,RMSprop,0,PRUNED
10,0.6648266008572542,2022-11-20 16:39:44.142424,2022-11-20 16:40:16.234758,0 days 00:00:32.092334,0.007104372586604762,25,6,1,12,,,RMSprop,0,COMPLETE
11,0.5616963241979478,2022-11-20 16:40:16.236145,2022-11-20 16:40:28.549435,0 days 00:00:12.313290,0.08598304225935481,15,6,2,12,8.0,,Adam,0,PRUNED
12,0.6189764904533056,2022-11-20 16:40:28.550212,2022-11-20 16:40:53.237017,0 days 00:00:24.686805,0.08231523730907073,20,3,2,16,14.0,,Adam,0,COMPLETE
13,0.5895570853357579,2022-11-20 16:40:53.238166,2022-11-20 16:41:04.257916,0 days 00:00:11.019750,0.0939528691452742,18,3,2,16,14.0,,Adam,0,PRUNED
14,0.6490453305624106,2022-11-20 16:41:04.258835,2022-11-20 16:41:36.156642,0 days 00:00:31.897807,0.07002565873688955,24,6,1,12,,,RMSprop,0,COMPLETE
