number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,system_attrs_pso:generation,state
0,0.6044940901415768,2022-11-20 21:59:48.486850,2022-11-20 22:00:33.211658,0 days 00:00:44.724808,0.07432337302289942,27,7,1,12,,,AdamW,0,COMPLETE
1,0.606637225613716,2022-11-20 22:00:33.212718,2022-11-20 22:02:31.299546,0 days 00:01:58.086828,0.03814412347935421,9,8,3,9,14.0,16.0,RMSprop,0,COMPLETE
2,0.5943629042732822,2022-11-20 22:02:31.300745,2022-11-20 22:02:58.937512,0 days 00:00:27.636767,0.020603287512628413,25,4,3,8,16.0,10.0,RMSprop,0,COMPLETE
3,0.6214443434212236,2022-11-20 22:02:58.938644,2022-11-20 22:03:43.243261,0 days 00:00:44.304617,0.017216320982924124,27,8,1,10,,,AdamW,0,COMPLETE
4,0.597610079231069,2022-11-20 22:03:43.244422,2022-11-20 22:04:16.047160,0 days 00:00:32.802738,0.08748590158331185,22,5,1,9,,,AdamW,0,COMPLETE
5,0.5907260683205611,2022-11-20 22:04:16.048471,2022-11-20 22:04:34.594291,0 days 00:00:18.545820,0.08013499598911086,32,7,3,12,7.0,7.0,RMSprop,0,PRUNED
6,0.6535913755033121,2022-11-20 22:04:34.595182,2022-11-20 22:05:03.873451,0 days 00:00:29.278269,0.002346842352446529,30,4,3,10,11.0,11.0,Adam,0,COMPLETE
7,0.6296921678140018,2022-11-20 22:05:03.874539,2022-11-20 22:05:39.242037,0 days 00:00:35.367498,0.05056707162681242,18,4,2,12,16.0,,Adam,0,COMPLETE
8,0.6020911806728146,2022-11-20 22:05:39.243152,2022-11-20 22:05:47.389798,0 days 00:00:08.146646,0.05945846625961742,30,4,2,14,8.0,,RMSprop,0,PRUNED
9,0.5937134692817249,2022-11-20 22:05:47.390947,2022-11-20 22:05:58.767151,0 days 00:00:11.376204,0.052262020724850734,18,3,2,10,13.0,,Adam,0,PRUNED
10,0.4215482530198727,2022-11-20 22:05:58.768198,2022-11-20 22:06:08.102596,0 days 00:00:09.334398,0.09823527251859324,30,6,3,12,16.0,4.0,Adam,0,PRUNED
11,0.5897519158332251,2022-11-20 22:06:08.103448,2022-11-20 22:06:17.638178,0 days 00:00:09.534730,0.048521122310753645,21,5,1,10,,,RMSprop,0,PRUNED
12,0.6093648525782569,2022-11-20 22:06:17.641550,2022-11-20 22:06:33.006861,0 days 00:00:15.365311,0.02877096943391794,27,8,2,18,8.0,,AdamW,0,PRUNED
13,0.6184569424600598,2022-11-20 22:06:33.007924,2022-11-20 22:06:52.905529,0 days 00:00:19.897605,0.09471884879590299,24,3,1,9,,,Adam,0,COMPLETE
14,0.5989738927133393,2022-11-20 22:06:52.906859,2022-11-20 22:07:00.891950,0 days 00:00:07.985091,0.0985333347456739,29,4,1,4,,,Adam,0,PRUNED
15,0.5900766333290037,2022-11-20 22:07:00.892848,2022-11-20 22:07:14.854235,0 days 00:00:13.961387,0.0974939552805751,11,5,1,9,,,AdamW,0,PRUNED
16,0.5543577087933498,2022-11-20 22:07:14.855233,2022-11-20 22:07:26.279090,0 days 00:00:11.423857,0.09851574496584521,25,3,3,16,9.0,4.0,AdamW,0,PRUNED
17,0.5763735550071438,2022-11-20 22:07:26.279990,2022-11-20 22:07:36.814189,0 days 00:00:10.534199,0.08763882821518201,29,5,3,16,11.0,17.0,AdamW,0,PRUNED
18,0.5967008702428886,2022-11-20 22:07:36.815280,2022-11-20 22:07:48.411822,0 days 00:00:11.596542,0.037490812595999776,18,5,2,5,6.0,,AdamW,0,PRUNED
19,0.5841018314066762,2022-11-20 22:07:48.413136,2022-11-20 22:07:57.301639,0 days 00:00:08.888503,0.05001630777289623,22,5,1,7,,,RMSprop,0,PRUNED
20,0.6526172230159761,2022-11-20 22:07:57.302774,2022-11-20 22:08:55.316812,0 days 00:00:58.014038,0.029328601602077158,10,4,2,17,14.0,,Adam,0,COMPLETE
21,0.5618262111962593,2022-11-20 22:08:55.318122,2022-11-20 22:09:03.951085,0 days 00:00:08.632963,0.08459128210677605,32,3,1,4,,,AdamW,0,PRUNED
22,0.5832575659176517,2022-11-20 22:09:03.952214,2022-11-20 22:09:13.143300,0 days 00:00:09.191086,0.028386277717112125,28,4,2,8,13.0,,RMSprop,0,PRUNED
23,0.6223535524094038,2022-11-20 22:09:13.144172,2022-11-20 22:09:27.851045,0 days 00:00:14.706873,0.013569793948575305,24,6,2,18,9.0,,RMSprop,0,PRUNED
24,0.6556695674762957,2022-11-20 22:09:27.852008,2022-11-20 22:10:45.592623,0 days 00:01:17.740615,0.0062667076602822384,13,8,2,11,18.0,,RMSprop,0,COMPLETE
25,0.5976750227302247,2022-11-20 22:10:45.593759,2022-11-20 22:11:05.013942,0 days 00:00:19.420183,0.04134315469416398,10,3,3,13,13.0,14.0,AdamW,0,PRUNED
26,0.5935186387842577,2022-11-20 22:11:05.015183,2022-11-20 22:11:21.389804,0 days 00:00:16.374621,0.06642521385917019,10,5,1,16,,,AdamW,0,PRUNED
27,0.4827250292245746,2022-11-20 22:11:21.390664,2022-11-20 22:11:30.024648,0 days 00:00:08.633984,0.08161577826881049,29,5,2,17,4.0,,RMSprop,0,PRUNED
28,0.5735809845434472,2022-11-20 22:11:30.025768,2022-11-20 22:11:43.385154,0 days 00:00:13.359386,0.04392795545429171,15,3,2,18,5.0,,AdamW,0,PRUNED
29,0.575594233017275,2022-11-20 22:11:43.386055,2022-11-20 22:12:05.986555,0 days 00:00:22.600500,0.012161258643855807,8,6,3,5,6.0,11.0,Adam,0,PRUNED
30,0.6189115469541498,2022-11-20 22:12:05.987660,2022-11-20 22:12:27.958606,0 days 00:00:21.970946,0.08250093140696672,13,6,1,18,,,Adam,0,PRUNED
31,0.5942330172749708,2022-11-20 22:12:27.959756,2022-11-20 22:12:38.890665,0 days 00:00:10.930909,0.06633085511977724,21,4,2,9,14.0,,AdamW,0,PRUNED
32,0.6658007533445902,2022-11-20 22:12:38.891897,2022-11-20 22:13:15.912656,0 days 00:00:37.020759,0.01328152397702899,32,7,1,18,,,Adam,0,COMPLETE
33,0.5625405896869723,2022-11-20 22:13:15.913852,2022-11-20 22:13:28.963307,0 days 00:00:13.049455,0.06743265300299699,18,6,3,7,16.0,18.0,AdamW,0,PRUNED
34,0.5848162098973892,2022-11-20 22:13:28.964204,2022-11-20 22:13:41.261588,0 days 00:00:12.297384,0.05813544708257771,19,8,3,17,5.0,13.0,Adam,0,PRUNED
35,0.5981296272243148,2022-11-20 22:13:41.262484,2022-11-20 22:13:56.119441,0 days 00:00:14.856957,0.035660660024261014,12,5,2,11,4.0,,Adam,0,PRUNED
36,0.6012469151837901,2022-11-20 22:13:56.120352,2022-11-20 22:14:04.161321,0 days 00:00:08.040969,0.07282121317332162,29,3,1,13,,,RMSprop,0,PRUNED
37,0.5768281595012339,2022-11-20 22:14:04.162172,2022-11-20 22:14:12.642282,0 days 00:00:08.480110,0.05511423655831006,30,5,2,5,4.0,,RMSprop,0,PRUNED
38,0.6469021950902715,2022-11-20 22:14:12.643205,2022-11-20 22:14:53.649927,0 days 00:00:41.006722,0.06800584713226028,31,8,2,18,13.0,,RMSprop,0,COMPLETE
39,0.6117677620470191,2022-11-20 22:14:53.651031,2022-11-20 22:15:02.590129,0 days 00:00:08.939098,0.09999999999999999,32,8,2,18,9.0,,AdamW,2,PRUNED
40,0.5040914404468113,2022-11-20 22:15:02.591009,2022-11-20 22:15:11.792027,0 days 00:00:09.201018,0.07341590267643612,26,3,2,13,7.0,,Adam,0,PRUNED
41,0.5982595142226264,2022-11-20 22:15:11.793186,2022-11-20 22:15:20.778227,0 days 00:00:08.985041,0.09999999999999999,32,8,2,18,12.0,,AdamW,2,PRUNED
42,0.5780620859851929,2022-11-20 22:15:20.779116,2022-11-20 22:15:33.266663,0 days 00:00:12.487547,0.09153377739117297,18,7,3,10,17.0,10.0,Adam,0,PRUNED
43,0.5899467463306923,2022-11-20 22:15:33.267833,2022-11-20 22:15:42.141388,0 days 00:00:08.873555,0.09999999999999999,32,8,2,18,9.0,,AdamW,2,PRUNED
44,0.589297311339135,2022-11-20 22:15:42.142502,2022-11-20 22:15:50.807677,0 days 00:00:08.665175,0.07833417909721603,30,3,2,10,16.0,,AdamW,0,PRUNED
45,0.5842966619041434,2022-11-20 22:15:50.808578,2022-11-20 22:15:59.020062,0 days 00:00:08.211484,0.09999999999999999,31,8,2,18,18.0,,RMSprop,2,PRUNED
46,0.6016365761787245,2022-11-20 22:15:59.021176,2022-11-20 22:16:08.982598,0 days 00:00:09.961422,0.024522839189734524,23,7,2,13,14.0,,AdamW,0,PRUNED
47,0.5776074814911027,2022-11-20 22:16:08.983508,2022-11-20 22:16:17.088720,0 days 00:00:08.105212,0.09999999999999999,31,8,2,18,12.0,,RMSprop,2,PRUNED
48,0.6070918301078062,2022-11-20 22:16:17.089676,2022-11-20 22:16:26.048599,0 days 00:00:08.958923,0.05743937307625163,21,6,1,11,,,Adam,0,PRUNED
49,0.6040394856474867,2022-11-20 22:16:26.049462,2022-11-20 22:16:34.107533,0 days 00:00:08.058071,0.09999999999999999,31,8,2,18,6.0,,RMSprop,2,PRUNED
