number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
0,0.5998831017015197,2022-11-24 18:08:35.156232,2022-11-24 18:09:13.089061,0 days 00:00:37.932829,0.09426971316116345,19,4,1,6,,,RMSprop,COMPLETE
1,0.6621639173918691,2022-11-24 18:09:13.096150,2022-11-24 18:09:51.097138,0 days 00:00:38.000988,0.03019529647277058,25,6,2,13,4.0,,RMSprop,COMPLETE
2,0.6489154435640992,2022-11-24 18:09:51.098370,2022-11-24 18:10:34.155005,0 days 00:00:43.056635,0.06980253360280787,13,5,1,10,,,RMSprop,COMPLETE
3,0.5925444862969217,2022-11-24 18:10:34.156222,2022-11-24 18:10:57.579975,0 days 00:00:23.423753,0.020286993337450668,24,4,1,4,,,RMSprop,COMPLETE
4,0.5998831017015197,2022-11-24 18:10:57.581620,2022-11-24 18:11:34.480024,0 days 00:00:36.898404,0.026087080647548784,15,4,1,11,,,AdamW,COMPLETE
5,0.5884530458501104,2022-11-24 18:11:34.481127,2022-11-24 18:11:45.986772,0 days 00:00:11.505645,0.022397072553151216,21,5,3,14,15.0,8.0,RMSprop,PRUNED
6,0.6274840888427069,2022-11-24 18:11:45.987722,2022-11-24 18:12:05.662635,0 days 00:00:19.674913,0.08369257653715319,30,3,1,9,,,Adam,COMPLETE
7,0.613521236524224,2022-11-24 18:12:05.663672,2022-11-24 18:12:27.221538,0 days 00:00:21.557866,0.07764459453952348,15,4,1,10,,,Adam,PRUNED
8,0.6137810105208469,2022-11-24 18:12:27.222461,2022-11-24 18:12:50.134082,0 days 00:00:22.911621,0.006467437293981827,15,3,3,4,17.0,11.0,RMSprop,PRUNED
9,0.5434472009351864,2022-11-24 18:12:50.134937,2022-11-24 18:13:02.174615,0 days 00:00:12.039678,0.08648221055334193,17,6,3,9,14.0,11.0,RMSprop,PRUNED
10,0.6140407845174698,2022-11-24 18:13:02.175714,2022-11-24 18:13:17.568413,0 days 00:00:15.392699,0.016358078048376648,22,7,2,12,10.0,,RMSprop,PRUNED
11,0.6038446551500195,2022-11-24 18:13:17.569433,2022-11-24 18:13:31.119491,0 days 00:00:13.550058,0.024930450540728497,26,3,1,10,,,RMSprop,PRUNED
12,0.6132614625276009,2022-11-24 18:13:31.130910,2022-11-24 18:13:44.685994,0 days 00:00:13.555084,0.032525902127835224,28,4,1,13,,,Adam,PRUNED
13,0.5970255877386673,2022-11-24 18:13:44.686811,2022-11-24 18:13:56.473885,0 days 00:00:11.787074,0.015798913008943104,12,5,1,13,,,RMSprop,PRUNED
14,0.6415118846603455,2022-11-24 18:13:56.474930,2022-11-24 18:14:27.348878,0 days 00:00:30.873948,0.010127232164613876,30,7,2,10,14.0,,AdamW,PRUNED
15,0.5865047408754384,2022-11-24 18:14:27.349807,2022-11-24 18:14:45.432092,0 days 00:00:18.082285,0.07491053252790075,9,8,3,11,18.0,5.0,RMSprop,PRUNED
16,0.603714768151708,2022-11-24 18:14:45.432979,2022-11-24 18:15:00.503207,0 days 00:00:15.070228,0.024105227258910445,28,8,2,9,14.0,,AdamW,PRUNED
