number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
0,0.5837121704117418,2022-11-21 23:22:45.498392,2022-11-21 23:23:28.495477,0 days 00:00:42.997085,0.08499675061322327,16,4,2,18,9.0,,Adam,COMPLETE
1,0.645798155604624,2022-11-21 23:23:28.496913,2022-11-21 23:24:14.005689,0 days 00:00:45.508776,0.08267169677671142,15,6,1,12,,,RMSprop,COMPLETE
2,0.6484608390700091,2022-11-21 23:24:14.006803,2022-11-21 23:24:56.894404,0 days 00:00:42.887601,0.09015610932715375,23,7,1,12,,,Adam,COMPLETE
3,0.5425379919470061,2022-11-21 23:24:56.895812,2022-11-21 23:25:39.121462,0 days 00:00:42.225650,0.08921744821153894,10,3,2,9,8.0,,AdamW,COMPLETE
4,0.6385244836991817,2022-11-21 23:25:39.122608,2022-11-21 23:26:14.289689,0 days 00:00:35.167081,0.08648626137817583,27,7,1,11,,,RMSprop,COMPLETE
5,0.5901415768281595,2022-11-21 23:26:14.290876,2022-11-21 23:26:29.006089,0 days 00:00:14.715213,0.084146931878696,8,3,1,5,,,RMSprop,PRUNED
6,0.6015716326795688,2022-11-21 23:26:29.007143,2022-11-21 23:26:43.117799,0 days 00:00:14.110656,0.09176901373372032,28,3,2,17,10.0,,Adam,PRUNED
7,0.4210287050266268,2022-11-21 23:26:43.118658,2022-11-21 23:26:57.361615,0 days 00:00:14.242957,0.0954196021499476,15,5,3,10,15.0,7.0,AdamW,PRUNED
8,0.42661384595402,2022-11-21 23:26:57.362455,2022-11-21 23:27:17.129528,0 days 00:00:19.767073,0.08406438577891845,9,3,3,8,10.0,6.0,Adam,PRUNED
9,0.5900766333290037,2022-11-21 23:27:17.130345,2022-11-21 23:27:32.675008,0 days 00:00:15.544663,0.08581802172264323,9,6,2,16,11.0,,RMSprop,PRUNED
10,0.5750746850240291,2022-11-21 23:27:32.675854,2022-11-21 23:27:40.350403,0 days 00:00:07.674549,0.09119977345038896,31,5,1,6,,,Adam,PRUNED
11,0.4547993245876088,2022-11-21 23:27:40.351266,2022-11-21 23:27:51.976538,0 days 00:00:11.625272,0.0905291698246551,17,3,2,17,11.0,,Adam,PRUNED
12,0.3556306013768022,2022-11-21 23:27:51.977392,2022-11-21 23:28:01.743658,0 days 00:00:09.766266,0.09047668820104117,23,4,2,10,9.0,,AdamW,PRUNED
13,0.5549422002857514,2022-11-21 23:28:01.744564,2022-11-21 23:28:12.795437,0 days 00:00:11.050873,0.08094669948716392,22,5,3,12,7.0,5.0,Adam,PRUNED
14,0.5792310689699961,2022-11-21 23:28:12.796253,2022-11-21 23:28:23.242250,0 days 00:00:10.445997,0.08969654382730982,20,8,3,15,16.0,7.0,RMSprop,PRUNED
15,0.5868944018703728,2022-11-21 23:28:23.243095,2022-11-21 23:28:34.831045,0 days 00:00:11.587950,0.07861785762447894,17,6,2,7,7.0,,AdamW,PRUNED
16,0.6084556435900766,2022-11-21 23:28:34.831956,2022-11-21 23:28:51.293283,0 days 00:00:16.461327,0.08033080330571325,19,8,2,16,15.0,,RMSprop,PRUNED
17,0.588777763345889,2022-11-21 23:28:51.294188,2022-11-21 23:29:02.868173,0 days 00:00:11.573985,0.09642424174184965,17,3,3,17,4.0,15.0,RMSprop,PRUNED
18,0.5810494869463567,2022-11-21 23:29:02.868981,2022-11-21 23:29:10.821250,0 days 00:00:07.952269,0.0842388057281232,27,7,1,13,,,RMSprop,PRUNED
19,0.5816989219379141,2022-11-21 23:29:10.822145,2022-11-21 23:29:20.791251,0 days 00:00:09.969106,0.09473708750991071,18,5,2,4,16.0,,RMSprop,PRUNED
20,0.5741654760358488,2022-11-21 23:29:20.792053,2022-11-21 23:29:35.927796,0 days 00:00:15.135743,0.09115381314207247,11,5,3,8,16.0,9.0,RMSprop,PRUNED
21,0.562865307182751,2022-11-21 23:29:35.928745,2022-11-21 23:29:46.637222,0 days 00:00:10.708477,0.07718837851440492,19,3,2,9,15.0,,Adam,PRUNED
22,0.5770229899987012,2022-11-21 23:29:46.638096,2022-11-21 23:29:57.334673,0 days 00:00:10.696577,0.08730871317194654,20,3,2,10,16.0,,AdamW,PRUNED
23,0.5385114949993506,2022-11-21 23:29:57.335484,2022-11-21 23:30:14.622831,0 days 00:00:17.287347,0.09218997127099712,9,4,2,16,4.0,,Adam,PRUNED
24,0.5796856734640863,2022-11-21 23:30:14.623804,2022-11-21 23:30:24.344036,0 days 00:00:09.720232,0.08412812507660071,29,8,3,8,13.0,16.0,AdamW,PRUNED
