number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_batch,params_n_epochs,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
0,0.5942330172749708,2022-11-20 15:38:11.047308,2022-11-20 15:39:33.448267,0 days 00:01:22.400959,0.07804273758117564,12,7,2,5,15.0,,RMSprop,COMPLETE
1,0.6085855305883882,2022-11-20 15:39:33.449940,2022-11-20 15:40:20.365074,0 days 00:00:46.915134,0.0479535765049343,27,7,2,6,15.0,,AdamW,COMPLETE
2,0.6478763475776075,2022-11-20 15:40:20.366348,2022-11-20 15:42:13.780172,0 days 00:01:53.413824,0.031536753964885866,8,8,1,15,,,Adam,COMPLETE
3,0.5650084426548903,2022-11-20 15:42:13.781513,2022-11-20 15:42:34.540935,0 days 00:00:20.759422,0.042331638113923604,23,3,2,4,13.0,,RMSprop,COMPLETE
4,0.5903364073256268,2022-11-20 15:42:34.542404,2022-11-20 15:43:17.025111,0 days 00:00:42.482707,0.06386251130007038,23,6,2,4,16.0,,AdamW,COMPLETE
5,0.5307182751006624,2022-11-20 15:43:17.026887,2022-11-20 15:43:30.102119,0 days 00:00:13.075232,0.09106350208577471,14,8,2,18,8.0,,Adam,PRUNED
6,0.5770879334978569,2022-11-20 15:43:30.103050,2022-11-20 15:44:16.892012,0 days 00:00:46.788962,0.07748753811382611,9,4,2,9,14.0,,AdamW,PRUNED
7,0.6133913495259125,2022-11-20 15:44:16.892988,2022-11-20 15:44:57.031390,0 days 00:00:40.138402,0.056745041003572506,16,5,1,6,,,Adam,COMPLETE
8,0.5489024548642681,2022-11-20 15:44:57.032869,2022-11-20 15:45:47.957101,0 days 00:00:50.924232,0.08643043374711402,8,4,2,10,16.0,,AdamW,PRUNED
9,0.6361865177295752,2022-11-20 15:45:47.958327,2022-11-20 15:46:13.183419,0 days 00:00:25.225092,0.052667847297821126,30,5,1,10,,,RMSprop,COMPLETE
10,0.6495648785556566,2022-11-20 15:46:13.184833,2022-11-20 15:47:28.023772,0 days 00:01:14.838939,0.013749109902195848,18,8,3,16,4.0,17.0,Adam,COMPLETE
11,0.6574230419535004,2022-11-20 15:47:28.025179,2022-11-20 15:48:43.285065,0 days 00:01:15.259886,0.010109508839266444,18,8,3,16,4.0,18.0,Adam,COMPLETE
12,0.6715807247694506,2022-11-20 15:48:43.286364,2022-11-20 15:49:49.397258,0 days 00:01:06.110894,0.003139096261498651,18,7,3,14,4.0,18.0,Adam,COMPLETE
13,0.6656708663462787,2022-11-20 15:49:49.398393,2022-11-20 15:50:47.576310,0 days 00:00:58.177917,0.0026437396841716976,21,7,3,13,4.0,18.0,Adam,COMPLETE
14,0.6590466294323938,2022-11-20 15:50:47.577721,2022-11-20 15:51:36.425479,0 days 00:00:48.847758,0.025581680370024416,22,6,3,13,8.0,5.0,Adam,COMPLETE
15,0.662423691388492,2022-11-20 15:51:36.426706,2022-11-20 15:52:38.345796,0 days 00:01:01.919090,0.0016649779200831444,20,7,3,13,7.0,14.0,Adam,COMPLETE
16,0.6186517729575269,2022-11-20 15:52:38.347392,2022-11-20 15:53:01.532316,0 days 00:00:23.184924,0.02266355011982471,27,6,3,13,6.0,11.0,Adam,PRUNED
17,0.6432653591375503,2022-11-20 15:53:01.533351,2022-11-20 15:53:45.512772,0 days 00:00:43.979421,0.009992212102161165,26,7,3,12,11.0,14.0,Adam,PRUNED
18,0.6448240031172879,2022-11-20 15:53:45.513651,2022-11-20 15:54:55.293111,0 days 00:01:09.779460,0.0023329515514888643,14,7,3,8,10.0,18.0,Adam,PRUNED
19,0.5687102221067671,2022-11-20 15:54:55.294076,2022-11-20 15:55:03.688477,0 days 00:00:08.394401,0.0359689858861423,32,6,3,15,5.0,14.0,RMSprop,PRUNED
20,0.6437199636316405,2022-11-20 15:55:03.689312,2022-11-20 15:55:48.364009,0 days 00:00:44.674697,0.019554880754357816,20,5,3,18,9.0,9.0,Adam,COMPLETE
21,0.6152747110014287,2022-11-20 15:55:48.365446,2022-11-20 15:56:08.036361,0 days 00:00:19.670915,0.0005771663960613075,20,7,3,13,6.0,15.0,Adam,PRUNED
22,0.6606702169112871,2022-11-20 15:56:08.037211,2022-11-20 15:57:09.021822,0 days 00:01:00.984611,0.0012006457473599042,20,7,3,14,6.0,16.0,Adam,COMPLETE
23,0.6057280166255358,2022-11-20 15:57:09.023236,2022-11-20 15:57:21.880245,0 days 00:00:12.857009,0.014479541388748199,17,8,3,11,18.0,12.0,Adam,PRUNED
24,0.6287829588258216,2022-11-20 15:57:21.881086,2022-11-20 15:57:45.833162,0 days 00:00:23.952076,0.010470679569274412,25,6,3,12,7.0,18.0,Adam,PRUNED
25,0.5773477074944798,2022-11-20 15:57:45.834236,2022-11-20 15:57:57.188056,0 days 00:00:11.353820,0.02941906277944069,22,7,3,16,4.0,12.0,Adam,PRUNED
26,0.6067671126120275,2022-11-20 15:57:57.189128,2022-11-20 15:58:11.730244,0 days 00:00:14.541116,0.018842657161957987,14,7,3,14,5.0,16.0,Adam,PRUNED
27,0.647486686582673,2022-11-20 15:58:11.731124,2022-11-20 15:58:52.273736,0 days 00:00:40.542612,0.004531108640110618,24,6,2,11,7.0,,Adam,PRUNED
28,0.572152227562021,2022-11-20 15:58:52.274605,2022-11-20 15:59:26.712604,0 days 00:00:34.437999,0.03590375881847873,16,8,3,14,5.0,8.0,AdamW,PRUNED
29,0.6054682426289129,2022-11-20 15:59:26.713890,2022-11-20 15:59:40.307397,0 days 00:00:13.593507,0.006091903589331279,11,7,2,17,7.0,,RMSprop,PRUNED
30,0.5939732432783479,2022-11-20 15:59:40.308371,2022-11-20 15:59:50.825063,0 days 00:00:10.516692,0.016761791964965127,19,6,3,12,11.0,14.0,RMSprop,PRUNED
31,0.6552799064813613,2022-11-20 15:59:50.826082,2022-11-20 16:00:39.889209,0 days 00:00:49.063127,0.0008038701414687465,22,7,3,14,6.0,16.0,Adam,PRUNED
32,0.6593713469281725,2022-11-20 16:00:39.890043,2022-11-20 16:01:38.312280,0 days 00:00:58.422237,0.00810078934595902,21,7,3,15,4.0,16.0,Adam,COMPLETE
33,0.6067021691128718,2022-11-20 16:01:38.313592,2022-11-20 16:01:50.318775,0 days 00:00:12.005183,0.02486302353916672,19,7,3,14,5.0,17.0,Adam,PRUNED
34,0.6028705026626835,2022-11-20 16:01:50.319784,2022-11-20 16:02:03.459844,0 days 00:00:13.140060,0.00026650716094507555,16,8,3,13,8.0,15.0,Adam,PRUNED
35,0.594427847772438,2022-11-20 16:02:03.461122,2022-11-20 16:02:13.904877,0 days 00:00:10.443755,0.06918028262743595,21,7,2,15,6.0,,Adam,PRUNED
