number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,state
0,42.1875,2022-11-27 15:02:30.620892,2022-11-27 15:04:28.481855,0 days 00:01:57.860963,0.22756855502173812,245,0.002758367675107699,7,795,Adam,COMPLETE
1,62.8125,2022-11-27 15:04:28.484797,2022-11-27 15:05:51.858630,0 days 00:01:23.373833,0.22636265383893325,133,0.0021491055752185877,7,613,Adam,COMPLETE
2,41.354166666666664,2022-11-27 15:05:51.859747,2022-11-27 15:08:20.731759,0 days 00:02:28.872012,0.3129503148407853,245,0.002767452758784254,8,796,Adam,COMPLETE
3,79.47916666666667,2022-11-27 15:08:20.735169,2022-11-27 15:08:55.936956,0 days 00:00:35.201787,0.33317596331281807,216,0.0027238206968495868,3,528,Adam,COMPLETE
4,45.625,2022-11-27 15:08:55.939606,2022-11-27 15:10:58.442744,0 days 00:02:02.503138,0.2278906126727032,197,0.0023708650956047214,7,887,AdamW,COMPLETE
5,86.66666666666667,2022-11-27 15:10:58.445252,2022-11-27 15:11:10.521445,0 days 00:00:12.076193,0.22522425776860852,133,0.002159188650221931,7,614,Adam,PRUNED
6,84.47916666666667,2022-11-27 15:11:10.522773,2022-11-27 15:11:27.169469,0 days 00:00:16.646696,0.545403178620224,245,0.002761343354382009,7,794,Adam,PRUNED
7,87.60416666666667,2022-11-27 15:11:27.170485,2022-11-27 15:11:41.333330,0 days 00:00:14.162845,0.4625996861370661,198,0.0023708650956047214,5,676,AdamW,PRUNED
8,88.02083333333333,2022-11-27 15:11:41.334549,2022-11-27 15:11:58.025156,0 days 00:00:16.690607,0.3132376895231059,245,0.0027696582114883897,6,795,Adam,PRUNED
9,87.70833333333333,2022-11-27 15:11:58.025983,2022-11-27 15:12:14.699916,0 days 00:00:16.673933,0.22586915504110958,245,0.0027560039329978967,7,794,Adam,PRUNED
10,83.95833333333333,2022-11-27 15:12:14.700857,2022-11-27 15:12:31.418690,0 days 00:00:16.717833,0.5130322069207237,245,0.00275400238578952,7,795,Adam,PRUNED
11,87.1875,2022-11-27 15:12:31.419829,2022-11-27 15:12:48.248024,0 days 00:00:16.828195,0.31358699042077187,245,0.002767452758784254,8,797,Adam,PRUNED
12,87.91666666666667,2022-11-27 15:12:48.249215,2022-11-27 15:13:01.885034,0 days 00:00:13.635819,0.22714457233136137,133,0.0021491055752185877,7,611,Adam,PRUNED
13,79.375,2022-11-27 15:13:01.885926,2022-11-27 15:13:24.284170,0 days 00:00:22.398244,0.22816629223101498,133,0.002146283934067239,7,936,RMSprop,PRUNED
14,87.70833333333333,2022-11-27 15:13:24.285487,2022-11-27 15:13:44.432938,0 days 00:00:20.147451,0.31103137120410873,244,0.002763348671828065,8,795,Adam,PRUNED
15,48.645833333333336,2022-11-27 15:13:44.433710,2022-11-27 15:16:44.127827,0 days 00:02:59.694117,0.22636265383893325,133,0.0021527073918895592,7,947,Adam,COMPLETE
16,56.875,2022-11-27 15:16:44.129049,2022-11-27 15:18:22.582534,0 days 00:01:38.453485,0.22504423952729533,164,0.0021568818013458493,7,613,Adam,COMPLETE
17,46.041666666666664,2022-11-27 15:18:22.586057,2022-11-27 15:18:47.756789,0 days 00:00:25.170732,0.2256438447116229,184,0.0021527073918895592,4,947,RMSprop,PRUNED
18,86.97916666666667,2022-11-27 15:18:47.757923,2022-11-27 15:19:13.736301,0 days 00:00:25.978378,0.22749455997239773,133,0.0021429446508539327,6,949,AdamW,PRUNED
19,87.1875,2022-11-27 15:19:13.737316,2022-11-27 15:19:33.759517,0 days 00:00:20.022201,0.3117143691761788,245,0.002767452758784254,8,795,Adam,PRUNED
20,94.79166666666667,2022-11-27 15:19:33.760545,2022-11-27 15:20:18.214374,0 days 00:00:44.453829,0.33317596331281807,196,0.0017451809573097187,3,530,AdamW,COMPLETE
21,88.64583333333333,2022-11-27 15:20:18.216705,2022-11-27 15:20:35.260795,0 days 00:00:17.044090,0.31286680237075554,245,0.002767452758784254,8,651,Adam,PRUNED
22,86.875,2022-11-27 15:20:35.261553,2022-11-27 15:21:01.066896,0 days 00:00:25.805343,0.2254500423945804,133,0.002141920971832314,3,949,Adam,PRUNED
23,85.41666666666667,2022-11-27 15:21:01.067704,2022-11-27 15:21:45.072611,0 days 00:00:44.004907,0.3336985609874551,216,0.002653891738002228,3,526,Adam,COMPLETE
24,87.70833333333333,2022-11-27 15:21:45.073643,2022-11-27 15:21:57.644113,0 days 00:00:12.570470,0.33288963543583716,216,0.002662685230295671,3,528,Adam,PRUNED
25,60.104166666666664,2022-11-27 15:21:57.645068,2022-11-27 15:24:10.225255,0 days 00:02:12.580187,0.2274435571509388,245,0.002021629981807901,7,792,Adam,COMPLETE
26,95.0,2022-11-27 15:24:10.226426,2022-11-27 15:24:44.806637,0 days 00:00:34.580211,0.33329331620615743,196,0.0017372727078855696,3,533,RMSprop,COMPLETE
27,88.4375,2022-11-27 15:24:44.809689,2022-11-27 15:24:57.244559,0 days 00:00:12.434870,0.22492733266606932,133,0.0021477894230793005,7,613,Adam,PRUNED
28,69.27083333333333,2022-11-27 15:24:57.245488,2022-11-27 15:26:30.171860,0 days 00:01:32.926372,0.22907586344881747,245,0.002029849985468953,5,792,Adam,COMPLETE
29,86.14583333333333,2022-11-27 15:26:30.173177,2022-11-27 15:26:41.767890,0 days 00:00:11.594713,0.5365439066751809,196,0.0017373286507928573,3,533,RMSprop,PRUNED
