number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,system_attrs_nsga2:generation,state
0,94.0625,2022-11-26 19:37:26.411947,2022-11-26 19:39:22.651116,0 days 00:01:56.239169,0.5764692681545138,129,0.001397598466062926,8,730,AdamW,0,COMPLETE
1,47.708333333333336,2022-11-26 19:39:22.652190,2022-11-26 19:41:01.553911,0 days 00:01:38.901721,0.3991826166042278,166,0.0024409453171042933,6,862,AdamW,0,COMPLETE
2,94.47916666666667,2022-11-26 19:41:01.555091,2022-11-26 19:42:01.435396,0 days 00:00:59.880305,0.5444331883820397,222,0.0010509081974430594,3,944,Adam,0,COMPLETE
3,93.54166666666667,2022-11-26 19:42:01.436569,2022-11-26 19:43:11.669758,0 days 00:01:10.233189,0.23310972852574077,132,0.0019102796556592014,4,844,AdamW,0,COMPLETE
4,92.08333333333333,2022-11-26 19:43:11.672605,2022-11-26 19:44:39.477461,0 days 00:01:27.804856,0.2584849584702176,160,0.0016655874037013354,7,523,AdamW,0,COMPLETE
5,93.75,2022-11-26 19:44:39.480077,2022-11-26 19:45:15.000267,0 days 00:00:35.520190,0.3633649646369961,230,0.0013995648242136408,3,555,RMSprop,0,COMPLETE
6,84.27083333333333,2022-11-26 19:45:15.001405,2022-11-26 19:45:27.947832,0 days 00:00:12.946427,0.4326118698536833,181,0.0010726369891898451,7,627,AdamW,0,PRUNED
7,86.14583333333333,2022-11-26 19:45:27.948666,2022-11-26 19:45:42.607333,0 days 00:00:14.658667,0.5823887576086797,197,0.002128150611745672,3,682,AdamW,0,PRUNED
8,85.3125,2022-11-26 19:45:42.608341,2022-11-26 19:45:58.662498,0 days 00:00:16.054157,0.44526979455565574,250,0.0010805316011616613,8,735,AdamW,0,PRUNED
9,93.125,2022-11-26 19:45:58.663331,2022-11-26 19:47:25.601682,0 days 00:01:26.938351,0.5893345041760629,193,0.0018290013337921083,6,675,AdamW,0,COMPLETE
10,89.58333333333333,2022-11-26 19:47:25.602868,2022-11-26 19:49:02.355336,0 days 00:01:36.752468,0.2516744840334676,159,0.001960797348117038,4,937,AdamW,0,COMPLETE
11,65.3125,2022-11-26 19:49:02.358886,2022-11-26 19:49:27.381956,0 days 00:00:25.023070,0.24742646495469467,212,0.00232431842487932,4,969,RMSprop,0,PRUNED
12,96.35416666666667,2022-11-26 19:49:27.382781,2022-11-26 19:52:09.640531,0 days 00:02:42.257750,0.23547689192876708,243,0.0014040990367376422,8,865,RMSprop,0,COMPLETE
13,43.75,2022-11-26 19:52:09.641752,2022-11-26 19:52:35.003112,0 days 00:00:25.361360,0.46274560743562493,169,0.0027475572365415744,4,1017,RMSprop,0,PRUNED
14,93.125,2022-11-26 19:52:35.003959,2022-11-26 19:53:00.993016,0 days 00:00:25.989057,0.43893318038593643,147,0.0019546189550027336,5,537,AdamW,0,PRUNED
15,86.875,2022-11-26 19:53:00.993850,2022-11-26 19:53:26.840696,0 days 00:00:25.846846,0.30362698100191093,135,0.0027262005871297244,6,939,AdamW,0,PRUNED
16,86.5625,2022-11-26 19:53:26.841548,2022-11-26 19:53:48.013716,0 days 00:00:21.172168,0.41555268512895877,174,0.0014165511720664239,6,895,AdamW,0,PRUNED
17,93.4375,2022-11-26 19:53:48.014975,2022-11-26 19:54:39.033335,0 days 00:00:51.018360,0.2794435661803219,217,0.0018651644880918125,3,953,RMSprop,0,PRUNED
18,91.45833333333333,2022-11-26 19:54:39.034453,2022-11-26 19:55:20.457567,0 days 00:00:41.423114,0.22001865651786512,213,0.0024052680407513,7,850,AdamW,0,PRUNED
19,84.16666666666667,2022-11-26 19:55:20.458449,2022-11-26 19:55:41.749532,0 days 00:00:21.291083,0.41349459992180726,201,0.002541909710635924,5,865,AdamW,0,PRUNED
20,77.8125,2022-11-26 19:55:41.750558,2022-11-26 19:56:06.901477,0 days 00:00:25.150919,0.46692897464403327,168,0.0016770468337503844,8,959,RMSprop,0,PRUNED
21,92.91666666666667,2022-11-26 19:56:06.902357,2022-11-26 19:56:52.854078,0 days 00:00:45.951721,0.30301332164508876,223,0.0014191691525307782,5,860,Adam,0,PRUNED
22,86.97916666666667,2022-11-26 19:56:52.854951,2022-11-26 19:57:14.875064,0 days 00:00:22.020113,0.2722095868306812,237,0.0011197200932647916,6,868,RMSprop,0,PRUNED
23,86.45833333333333,2022-11-26 19:57:14.875867,2022-11-26 19:57:28.705336,0 days 00:00:13.829469,0.30852336998431323,162,0.0025868707945688528,7,598,Adam,0,PRUNED
24,92.60416666666667,2022-11-26 19:57:28.706243,2022-11-26 19:58:21.332280,0 days 00:00:52.626037,0.22601085786915612,192,0.0015034441954166712,6,989,Adam,0,PRUNED
25,53.854166666666664,2022-11-26 19:58:21.333150,2022-11-26 19:58:34.190490,0 days 00:00:12.857340,0.4155048146760606,130,0.0019327426455958484,6,586,RMSprop,0,PRUNED
26,94.16666666666667,2022-11-26 19:58:34.191349,2022-11-26 20:00:35.029875,0 days 00:02:00.838526,0.21734167005533656,222,0.0014959960718319578,7,720,AdamW,0,COMPLETE
27,85.41666666666667,2022-11-26 20:00:35.030892,2022-11-26 20:00:53.479057,0 days 00:00:18.448165,0.521290044852744,220,0.001397598466062926,8,730,AdamW,1,PRUNED
28,81.875,2022-11-26 20:00:53.479880,2022-11-26 20:01:10.504904,0 days 00:00:17.025024,0.5444331883820397,222,0.0010509081974430594,3,729,RMSprop,1,PRUNED
29,93.02083333333333,2022-11-26 20:01:10.505746,2022-11-26 20:02:01.503040,0 days 00:00:50.997294,0.2516744840334676,159,0.001960797348117038,4,937,AdamW,1,PRUNED
