number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,system_attrs_pso:generation,state
0,91.5625,2022-11-26 21:59:57.385099,2022-11-26 22:01:41.497291,0 days 00:01:44.112192,0.25526645616666577,253,0.0025244113167345685,6,823,RMSprop,0,COMPLETE
1,55.9375,2022-11-26 22:01:41.498566,2022-11-26 22:03:51.436436,0 days 00:02:09.937870,0.3508174332667974,213,0.0021457025290972202,7,801,AdamW,0,COMPLETE
2,93.95833333333333,2022-11-26 22:03:51.437513,2022-11-26 22:05:40.899233,0 days 00:01:49.461720,0.28516218436152285,139,0.001538837916634253,6,895,AdamW,0,COMPLETE
3,91.14583333333333,2022-11-26 22:05:40.900524,2022-11-26 22:07:12.612927,0 days 00:01:31.712403,0.3917199429796222,148,0.0017984103968047794,4,1022,AdamW,0,COMPLETE
4,94.0625,2022-11-26 22:07:12.614275,2022-11-26 22:08:16.440223,0 days 00:01:03.825948,0.23911558276377198,233,0.00131795827108559,4,682,AdamW,0,COMPLETE
5,84.27083333333333,2022-11-26 22:08:16.443101,2022-11-26 22:09:19.694784,0 days 00:01:03.251683,0.33163665546896676,200,0.0022201229597940742,5,566,Adam,0,COMPLETE
6,91.45833333333333,2022-11-26 22:09:19.696295,2022-11-26 22:10:19.313274,0 days 00:00:59.616979,0.2286253869023566,153,0.0020432210730289436,4,719,AdamW,0,COMPLETE
7,95.10416666666667,2022-11-26 22:10:19.314753,2022-11-26 22:10:53.434811,0 days 00:00:34.120058,0.23473732724053883,172,0.0017161575292890664,3,584,RMSprop,0,COMPLETE
8,85.625,2022-11-26 22:10:53.436697,2022-11-26 22:11:07.993777,0 days 00:00:14.557080,0.26554349238968183,175,0.001854211236179422,5,703,RMSprop,0,PRUNED
9,80.625,2022-11-26 22:11:07.994660,2022-11-26 22:11:22.237055,0 days 00:00:14.242395,0.5765339637708903,164,0.0015231579956676306,5,701,RMSprop,0,PRUNED
10,95.0,2022-11-26 22:11:22.238071,2022-11-26 22:12:11.514073,0 days 00:00:49.276002,0.4245387809256974,232,0.0023896745520861425,4,545,RMSprop,0,COMPLETE
