number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,state
0,92.39583333333333,2022-11-26 20:55:31.190191,2022-11-26 20:56:14.728901,0 days 00:00:43.538710,0.2550861250189525,141,0.0027609797339092908,4,588,RMSprop,COMPLETE
1,91.25,2022-11-26 20:56:14.730431,2022-11-26 20:57:40.282945,0 days 00:01:25.552514,0.30104010900246125,232,0.0025722304036252305,6,729,RMSprop,COMPLETE
2,93.54166666666667,2022-11-26 20:57:40.284055,2022-11-26 20:58:42.412544,0 days 00:01:02.128489,0.5033421416349244,142,0.0013080613166769374,5,639,AdamW,COMPLETE
3,93.64583333333333,2022-11-26 20:58:42.413680,2022-11-26 20:59:48.458176,0 days 00:01:06.044496,0.5524342764770742,160,0.0018356882366892947,4,847,AdamW,COMPLETE
4,48.4375,2022-11-26 20:59:48.459287,2022-11-26 21:02:37.785395,0 days 00:02:49.326108,0.27017144729768294,227,0.0024621162023633837,8,929,Adam,COMPLETE
5,94.27083333333333,2022-11-26 21:02:37.786572,2022-11-26 21:03:40.765133,0 days 00:01:02.978561,0.4855581567790451,239,0.00122699785742966,4,727,AdamW,COMPLETE
6,95.52083333333333,2022-11-26 21:03:40.766266,2022-11-26 21:05:40.857249,0 days 00:02:00.090983,0.4548005138131388,169,0.0014895147959046798,8,814,RMSprop,COMPLETE
7,80.625,2022-11-26 21:05:40.858353,2022-11-26 21:05:51.970905,0 days 00:00:11.112552,0.3263016454985366,128,0.002909234042051164,4,634,RMSprop,PRUNED
8,79.47916666666667,2022-11-26 21:05:51.972112,2022-11-26 21:06:09.642778,0 days 00:00:17.670666,0.5941885140022731,196,0.002967608915541243,3,751,Adam,PRUNED
9,82.5,2022-11-26 21:06:09.643727,2022-11-26 21:06:23.641194,0 days 00:00:13.997467,0.5615091427121088,148,0.0028416118734349055,3,586,AdamW,PRUNED
10,83.54166666666667,2022-11-26 21:06:23.642438,2022-11-26 21:06:44.836957,0 days 00:00:21.194519,0.3470551501222951,207,0.0011112360095268748,4,856,RMSprop,PRUNED
11,92.8125,2022-11-26 21:06:44.837800,2022-11-26 21:07:12.993582,0 days 00:00:28.155782,0.20984847681422367,248,0.002005090198428762,7,595,RMSprop,PRUNED
12,90.625,2022-11-26 21:07:12.994418,2022-11-26 21:08:08.057182,0 days 00:00:55.062764,0.47865669482368367,220,0.0019444695518026252,3,1017,Adam,PRUNED
13,92.91666666666667,2022-11-26 21:08:08.058240,2022-11-26 21:08:42.258835,0 days 00:00:34.200595,0.2482703096249005,192,0.001760129315248811,8,699,Adam,PRUNED
14,85.83333333333333,2022-11-26 21:08:42.259922,2022-11-26 21:08:59.000526,0 days 00:00:16.740604,0.32483167516075806,169,0.001703331032687552,4,741,RMSprop,PRUNED
15,95.20833333333333,2022-11-26 21:08:59.001376,2022-11-26 21:10:12.960242,0 days 00:01:13.958866,0.5900019124301181,242,0.0012956609862415866,4,717,AdamW,COMPLETE
16,36.25,2022-11-26 21:10:12.962757,2022-11-26 21:10:33.212295,0 days 00:00:20.249538,0.5139202254622017,131,0.0029871499564399907,7,984,RMSprop,PRUNED
17,79.47916666666667,2022-11-26 21:10:33.213361,2022-11-26 21:10:49.719140,0 days 00:00:16.505779,0.5618896798831855,165,0.0010250146442971945,7,731,RMSprop,PRUNED
18,93.02083333333333,2022-11-26 21:10:49.720188,2022-11-26 21:12:52.765189,0 days 00:02:03.045001,0.3416297716653699,244,0.0018550364587934694,7,666,AdamW,COMPLETE
19,85.9375,2022-11-26 21:12:52.766462,2022-11-26 21:13:08.108990,0 days 00:00:15.342528,0.47787961321590555,236,0.001113355486993193,6,519,AdamW,PRUNED
20,88.22916666666667,2022-11-26 21:13:08.109885,2022-11-26 21:13:34.124488,0 days 00:00:26.014603,0.3928780904334971,137,0.0028924105329766344,4,559,Adam,PRUNED
21,90.83333333333333,2022-11-26 21:13:34.125469,2022-11-26 21:14:09.487556,0 days 00:00:35.362087,0.2775098334041265,254,0.0026501699591342637,3,662,AdamW,PRUNED
22,62.291666666666664,2022-11-26 21:14:09.488429,2022-11-26 21:14:29.472166,0 days 00:00:19.983737,0.24307995091112689,154,0.0028845752489709765,8,856,RMSprop,PRUNED
23,93.75,2022-11-26 21:14:29.473021,2022-11-26 21:15:32.676107,0 days 00:01:03.203086,0.36234883324812617,198,0.0011405342612400126,3,780,Adam,COMPLETE
24,41.5625,2022-11-26 21:15:32.677099,2022-11-26 21:15:44.807885,0 days 00:00:12.130786,0.4122485083508226,142,0.0024202489264902524,3,636,RMSprop,PRUNED
25,84.47916666666667,2022-11-26 21:15:44.808715,2022-11-26 21:16:00.730222,0 days 00:00:15.921507,0.5723010438000777,200,0.0012900952068593922,3,706,RMSprop,PRUNED
26,57.395833333333336,2022-11-26 21:16:00.731037,2022-11-26 21:16:25.926655,0 days 00:00:25.195618,0.5131778429083246,163,0.0018843433780752535,4,1021,RMSprop,PRUNED
27,69.47916666666667,2022-11-26 21:16:25.927717,2022-11-26 21:16:45.872372,0 days 00:00:19.944655,0.43852826360990116,193,0.0028644350047235894,7,788,RMSprop,PRUNED
28,85.3125,2022-11-26 21:16:45.873201,2022-11-26 21:16:59.444127,0 days 00:00:13.570926,0.5180593479970306,130,0.0024075143166948734,5,615,Adam,PRUNED
29,83.64583333333333,2022-11-26 21:16:59.444970,2022-11-26 21:17:18.815372,0 days 00:00:19.370402,0.24143980743237423,198,0.0009912566781531992,5,783,AdamW,PRUNED
