number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,state
0,53.854166666666664,2022-11-26 21:21:32.565082,2022-11-26 21:23:25.555142,0 days 00:01:52.990060,0.42978742422423877,174,0.0018254580619527262,6,972,Adam,COMPLETE
1,95.0,2022-11-26 21:23:25.556307,2022-11-26 21:24:33.303394,0 days 00:01:07.747087,0.4011807127959925,244,0.0019648218967336026,5,662,RMSprop,COMPLETE
2,47.395833333333336,2022-11-26 21:24:33.304522,2022-11-26 21:26:18.555385,0 days 00:01:45.250863,0.42782405540720725,160,0.002101412491655149,6,852,Adam,COMPLETE
3,47.291666666666664,2022-11-26 21:26:18.558170,2022-11-26 21:27:45.261666,0 days 00:01:26.703496,0.464819817374324,240,0.002089014966487193,4,918,AdamW,COMPLETE
4,91.04166666666667,2022-11-26 21:27:45.262912,2022-11-26 21:28:39.982600,0 days 00:00:54.719688,0.4549004271131285,138,0.002195072273615078,4,641,Adam,COMPLETE
5,34.0625,2022-11-26 21:28:39.983723,2022-11-26 21:28:59.272137,0 days 00:00:19.288414,0.48254952804868356,201,0.0023237291305352493,7,940,RMSprop,PRUNED
6,91.5625,2022-11-26 21:28:59.272997,2022-11-26 21:29:37.456464,0 days 00:00:38.183467,0.419369503174549,148,0.0021376630680792477,5,913,Adam,PRUNED
7,57.8125,2022-11-26 21:29:37.457406,2022-11-26 21:31:27.106645,0 days 00:01:49.649239,0.42824365496331457,214,0.0021320550249440606,6,784,AdamW,COMPLETE
8,84.0625,2022-11-26 21:31:27.108082,2022-11-26 21:31:45.388893,0 days 00:00:18.280811,0.4904403048289093,238,0.0021412021574444173,8,891,AdamW,PRUNED
9,84.47916666666667,2022-11-26 21:31:45.390068,2022-11-26 21:31:58.121337,0 days 00:00:12.731269,0.49378366560986164,247,0.002352770878568106,8,630,RMSprop,PRUNED
10,86.14583333333333,2022-11-26 21:31:58.122372,2022-11-26 21:32:10.068013,0 days 00:00:11.945641,0.3993206646472842,132,0.0021463707542647755,8,573,Adam,PRUNED
11,85.625,2022-11-26 21:32:10.068844,2022-11-26 21:32:25.479396,0 days 00:00:15.410552,0.4026845147532426,204,0.0019769975009371115,7,806,RMSprop,PRUNED
12,92.70833333333333,2022-11-26 21:32:25.480267,2022-11-26 21:32:51.736989,0 days 00:00:26.256722,0.4217210628082738,238,0.0020760590827654125,3,538,AdamW,PRUNED
13,87.60416666666667,2022-11-26 21:32:51.738167,2022-11-26 21:33:06.704250,0 days 00:00:14.966083,0.3892859990328318,193,0.002182416758147721,7,728,AdamW,PRUNED
14,64.79166666666667,2022-11-26 21:33:06.705248,2022-11-26 21:33:25.887133,0 days 00:00:19.181885,0.44270550744388426,214,0.0022131720412551063,8,940,RMSprop,PRUNED
15,79.58333333333333,2022-11-26 21:33:25.888133,2022-11-26 21:33:41.797308,0 days 00:00:15.909175,0.44881361720220525,218,0.002312649245570837,8,834,RMSprop,PRUNED
16,91.35416666666667,2022-11-26 21:33:41.798234,2022-11-26 21:34:40.682339,0 days 00:00:58.884105,0.40016210661988794,175,0.0019793546168971276,3,916,AdamW,COMPLETE
17,91.35416666666667,2022-11-26 21:34:40.685292,2022-11-26 21:35:24.385241,0 days 00:00:43.699949,0.4157323853902364,217,0.001966171240775538,7,975,AdamW,PRUNED
18,85.41666666666667,2022-11-26 21:35:24.386334,2022-11-26 21:35:35.922960,0 days 00:00:11.536626,0.40759356955857917,132,0.001961813363376342,4,627,RMSprop,PRUNED
19,91.45833333333333,2022-11-26 21:35:35.924063,2022-11-26 21:36:17.915706,0 days 00:00:41.991643,0.39305555760010846,170,0.001953045915298235,4,962,AdamW,PRUNED
20,88.95833333333333,2022-11-26 21:36:17.916900,2022-11-26 21:37:03.095283,0 days 00:00:45.178383,0.40910194311957404,255,0.0021308419929798733,3,999,Adam,PRUNED
21,71.35416666666667,2022-11-26 21:37:03.096324,2022-11-26 21:37:21.133182,0 days 00:00:18.036858,0.3879542621326538,246,0.002109666409015877,3,996,RMSprop,PRUNED
22,63.541666666666664,2022-11-26 21:37:21.134056,2022-11-26 21:37:35.362166,0 days 00:00:14.228110,0.38128526524169726,177,0.002130970796648342,6,762,RMSprop,PRUNED
23,92.60416666666667,2022-11-26 21:37:35.363087,2022-11-26 21:38:16.452870,0 days 00:00:41.089783,0.38558247386533195,157,0.001952849295652349,6,931,AdamW,PRUNED
24,92.39583333333333,2022-11-26 21:38:16.453716,2022-11-26 21:38:42.654049,0 days 00:00:26.200333,0.3714947501859632,233,0.001905098865789631,3,594,Adam,PRUNED
25,87.8125,2022-11-26 21:38:42.655036,2022-11-26 21:38:54.839251,0 days 00:00:12.184215,0.4272231962595673,198,0.0020402429164147994,3,556,Adam,PRUNED
26,86.25,2022-11-26 21:38:54.840429,2022-11-26 21:39:07.567016,0 days 00:00:12.726587,0.42742815238336934,154,0.0017625942144884111,3,566,RMSprop,PRUNED
27,88.22916666666667,2022-11-26 21:39:07.568260,2022-11-26 21:39:34.434411,0 days 00:00:26.866151,0.41359491558860667,214,0.002056648200313564,6,981,Adam,PRUNED
28,88.33333333333333,2022-11-26 21:39:34.435532,2022-11-26 21:39:51.804280,0 days 00:00:17.368748,0.41911376459120314,134,0.002125845160359743,5,746,AdamW,PRUNED
29,93.02083333333333,2022-11-26 21:39:51.805182,2022-11-26 21:40:24.567807,0 days 00:00:32.762625,0.41224016114855894,196,0.0021144468486766006,3,641,Adam,PRUNED
