number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_learning_rate,params_n_epochs,params_n_unit,params_optimizer,state
0,95.72916666666667,2022-11-26 18:36:00.737661,2022-11-26 18:37:59.686157,0 days 00:01:58.948496,0.26438235357252793,250,0.0009062324336027673,6,948,RMSprop,COMPLETE
1,93.125,2022-11-26 18:37:59.687345,2022-11-26 18:39:02.945401,0 days 00:01:03.258056,0.3481750358371092,198,0.0014149965931961029,3,931,Adam,COMPLETE
2,91.5625,2022-11-26 18:39:02.947855,2022-11-26 18:40:05.168850,0 days 00:01:02.220995,0.5989504265759386,186,0.001849293198212875,3,1002,RMSprop,COMPLETE
3,93.95833333333333,2022-11-26 18:40:05.169861,2022-11-26 18:41:28.443913,0 days 00:01:23.274052,0.3159746225366943,182,0.0010338801413548896,6,672,AdamW,COMPLETE
4,93.95833333333333,2022-11-26 18:41:28.445128,2022-11-26 18:42:41.108022,0 days 00:01:12.662894,0.5844646780537446,252,0.0011211546632551334,6,612,RMSprop,COMPLETE
5,80.625,2022-11-26 18:42:41.109388,2022-11-26 18:42:57.270113,0 days 00:00:16.160725,0.5504903596213873,158,0.0020991954980540102,3,873,RMSprop,PRUNED
6,85.52083333333333,2022-11-26 18:42:57.271045,2022-11-26 18:43:19.636490,0 days 00:00:22.365445,0.4825907046010422,175,0.0025639925550345424,4,989,AdamW,PRUNED
7,93.33333333333333,2022-11-26 18:43:19.637593,2022-11-26 18:44:41.770196,0 days 00:01:22.132603,0.2618429022927008,218,0.0015418062083716543,6,915,AdamW,PRUNED
8,83.22916666666667,2022-11-26 18:44:41.771441,2022-11-26 18:44:58.202369,0 days 00:00:16.430928,0.312080852042559,151,0.001136163884466706,3,829,AdamW,PRUNED
9,84.58333333333333,2022-11-26 18:44:58.203339,2022-11-26 18:45:16.975197,0 days 00:00:18.771858,0.5943875506726141,193,0.0013001128592016933,5,820,AdamW,PRUNED
10,83.95833333333333,2022-11-26 18:45:16.976186,2022-11-26 18:45:32.857718,0 days 00:00:15.881532,0.42604721182935557,249,0.0008064849300714312,8,730,Adam,PRUNED
11,76.875,2022-11-26 18:45:32.858704,2022-11-26 18:45:45.518513,0 days 00:00:12.659809,0.20076548336449876,131,0.0008166919296083262,7,680,RMSprop,PRUNED
12,83.75,2022-11-26 18:45:45.519582,2022-11-26 18:45:57.452727,0 days 00:00:11.933145,0.2705357493731529,224,0.0028287723401426317,5,542,RMSprop,PRUNED
13,92.70833333333333,2022-11-26 18:45:57.453658,2022-11-26 18:46:27.978776,0 days 00:00:30.525118,0.3543805499445586,220,0.0018179870729794917,7,699,AdamW,PRUNED
14,92.5,2022-11-26 18:46:27.980000,2022-11-26 18:47:08.469563,0 days 00:00:40.489563,0.20239285032280208,235,0.0010413018660907604,7,619,Adam,PRUNED
15,78.4375,2022-11-26 18:47:08.470715,2022-11-26 18:47:24.019503,0 days 00:00:15.548788,0.41013039933191026,205,0.0023668760917137724,6,801,RMSprop,PRUNED
16,93.22916666666667,2022-11-26 18:47:24.020456,2022-11-26 18:48:01.700028,0 days 00:00:37.679572,0.26229430522441977,174,0.0016319396906989186,8,515,AdamW,PRUNED
17,77.8125,2022-11-26 18:48:01.700912,2022-11-26 18:48:15.852437,0 days 00:00:14.151525,0.3165215982187455,154,0.001003946445244564,5,749,RMSprop,PRUNED
18,85.625,2022-11-26 18:48:15.853389,2022-11-26 18:48:32.343626,0 days 00:00:16.490237,0.47090274426400425,236,0.001312117271055663,4,653,AdamW,PRUNED
19,93.02083333333333,2022-11-26 18:48:32.344579,2022-11-26 18:48:57.191532,0 days 00:00:24.846953,0.363478866775672,172,0.002154556326227677,7,584,Adam,PRUNED
20,96.04166666666667,2022-11-26 18:48:57.193087,2022-11-26 18:51:00.236562,0 days 00:02:03.043475,0.29921070372441333,207,0.0015880201650297686,6,946,RMSprop,COMPLETE
21,76.25,2022-11-26 18:51:00.240088,2022-11-26 18:51:20.974104,0 days 00:00:20.734016,0.2938483969359217,210,0.0016169677671817558,6,955,RMSprop,PRUNED
22,84.89583333333333,2022-11-26 18:51:20.976061,2022-11-26 18:51:37.144276,0 days 00:00:16.168215,0.24031835854370878,184,0.0009648759319860583,6,879,RMSprop,PRUNED
23,73.02083333333333,2022-11-26 18:51:37.145191,2022-11-26 18:51:58.529161,0 days 00:00:21.383970,0.3291987424769894,236,0.0012422507742845064,5,1015,RMSprop,PRUNED
24,94.6875,2022-11-26 18:51:58.530907,2022-11-26 18:53:08.210249,0 days 00:01:09.679342,0.232302101568484,205,0.0014650161976900342,7,880,RMSprop,PRUNED
25,82.5,2022-11-26 18:53:08.211580,2022-11-26 18:53:30.713015,0 days 00:00:22.501435,0.3819762409766225,141,0.0009071742789106469,4,957,AdamW,PRUNED
26,49.583333333333336,2022-11-26 18:53:30.714043,2022-11-26 18:53:48.782475,0 days 00:00:18.068432,0.29068222199531896,162,0.001678144561177953,6,789,RMSprop,PRUNED
27,93.33333333333333,2022-11-26 18:53:48.784139,2022-11-26 18:54:33.023966,0 days 00:00:44.239827,0.44120766235287534,243,0.001197119815866703,5,861,AdamW,PRUNED
28,91.875,2022-11-26 18:54:33.024799,2022-11-26 18:55:27.357693,0 days 00:00:54.332894,0.23135475951887782,229,0.002067144541379618,7,727,Adam,PRUNED
29,86.14583333333333,2022-11-26 18:55:27.358603,2022-11-26 18:55:47.193640,0 days 00:00:19.835037,0.3815667144609628,197,0.0013981734424719488,8,926,RMSprop,PRUNED
